Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B02026,05/01/2015, 3 , 1 
B02054,05/01/2015, 20 , 8 
B02095,05/01/2015, 132 , 76 
B02096,05/01/2015, 7 , 7 
B02106,05/01/2015, 6 , -   
B02110,05/01/2015, 110 , 9 
B02120,05/01/2015, 285 , 102 
B02127,05/01/2015, 4 , 3 
B02133,05/01/2015, 92 , 31 
B02144,05/01/2015, 22 , 10 
B02147,05/01/2015, 18 , 10 
B02155,05/01/2015, 10 , 10 
B02157,05/01/2015, 197 , 102 
B02167,05/01/2015, 4 , 1 
B02182,05/01/2015, 5 , 2 
B02183,05/01/2015, 12 , 12 
B02191,05/01/2015, 29 , 14 
B02217,05/01/2015, 18 , 9 
B02240,05/01/2015, 19 , 9 
B02249,05/01/2015, 254 , 42 
B02252,05/01/2015, 6 , 3 
B02265,05/01/2015, 54 , 4 
b02301,05/01/2015, 578 , 26 
B02306,05/01/2015, 112 , 22 
B02308,05/01/2015, 101 , 21 
B02342,05/01/2015, 12 , 1 
B02389,05/01/2015, 51 , 13 
B02397,05/01/2015, 187 , 13 
B02410,05/01/2015, 96 , 29 
B02423,05/01/2015, 18 , 3 
B02435,05/01/2015, 9 , 5 
B02440,05/01/2015, 50 , 19 
B02447,05/01/2015, 4 , 4 
B02468,05/01/2015, 123 , 35 
B02470,05/01/2015, 31 , 11 
B02471,05/01/2015, 11 , 5 
B02475,05/01/2015, 16 , 8 
B02491,05/01/2015, 23 , 4 
B02511,05/01/2015, 32 , 13 
B02517,05/01/2015, 16 , 6 
B02524,05/01/2015, 11 , 6 
B02532,05/01/2015, 32 , -   
B02541,05/01/2015, 7 , 5 
B02542,05/01/2015, 3 , 2 
B02543,05/01/2015, 52 , 9 
B02547,05/01/2015, 7 , 5 
B02554,05/01/2015, 2 , 2 
B02564,05/01/2015, 16 , 6 
B02573,05/01/2015, 420 , 39 
B02574,05/01/2015, 61 , 38 
B02590,05/01/2015, 88 , -   
B02599,05/01/2015, 18 , 9 
B02629,05/01/2015, 10 , 5 
B02637,05/01/2015, 8 , 6 
B02653,05/01/2015," 1,484 ", 123 
B02658,05/01/2015, 10 , 1 
B02661,05/01/2015, 100 , 1 
B02664,05/01/2015, 8 , 6 
B02666,05/01/2015, 10 , 10 
B02667,05/01/2015, 8 , 7 
B02673,05/01/2015, 2 , 2 
B02675,05/01/2015, 21 , 2 
B02681,05/01/2015, 10 , 5 
B02686,05/01/2015, 11 , 8 
B02695,05/01/2015, 15 , 3 
B02705                  ,05/01/2015, 3 , 3 
B02710,05/01/2015, 6 , 6 
B02712,05/01/2015, 7 , 6 
B02715,05/01/2015, 123 , 35 
B02716,05/01/2015, 111 , 1 
B02718,05/01/2015, 1 , 1 
B02723,05/01/2015, 18 , 1 
B02725,05/01/2015, 135 , 1 
B02726,05/01/2015, 170 , 10 
B02731,05/01/2015, 27 , 2 
B02751,05/01/2015, 2 , 2 
B02753,05/01/2015, 30 , 11 
B02754,05/01/2015, 3 , 1 
B02783,05/01/2015, 36 , 5 
B02808,05/01/2015, 14 , 3 
B00008,05/02/2015, 173 , 17 
B00009,05/02/2015, 117 , 15 
B00013,05/02/2015, 89 , 47 
B00014,05/02/2015, 89 , 55 
B00021,05/02/2015," 1,096 ", 74 
B00029,05/02/2015, 698 , 49 
B00030,05/02/2015, 65 , 10 
B00035,05/02/2015, 5 , 5 
B00078,05/02/2015, 33 , 18 
B00083,05/02/2015, 8 , 6 
B00084,05/02/2015, 5 , 4 
B00160,05/02/2015, 293 , 22 
B00202,05/02/2015, 50 , 8 
B00221,05/02/2015, 339 , 74 
B00235,05/02/2015, 4 , 2 
B00248,05/02/2015," 1,008 ", 116 
B00254,05/02/2015, 284 , 119 
B00256,05/02/2015," 2,009 ", 567 
B00272,05/02/2015, 116 , 72 
B00277,05/02/2015, 25 , 18 
B00281,05/02/2015, 182 , 8 
B00296,05/02/2015, 22 , 17 
B00310,05/02/2015," 1,955 ", 139 
B00319,05/02/2015, 88 , 9 
B00334,05/02/2015, 139 , 41 
B00373,05/02/2015, 632 , 4 
B00381,05/02/2015, 83 , 45 
B00411,05/02/2015, 40 , 24 
B00412,05/02/2015, 135 , 30 
B00477,05/02/2015, 314 , 73 
B00492,05/02/2015, 383 , 20 
B00552,05/02/2015, 13 , 12 
B00608,05/02/2015, 35 , 19 
B00619,05/02/2015, 37 , 6 
B00623,05/02/2015, 4 , 2 
B00652,05/02/2015, 135 , 15 
B00706,05/02/2015, 568 , 18 
B00789,05/02/2015, 240 , 101 
B00837,05/02/2015, 183 , 77 
b00881,05/02/2015, 7 , 6 
B00888,05/02/2015, 17 , 14 
B00906,05/02/2015, 82 , 13 
b00941,05/02/2015, 50 , -   
B00975,05/02/2015, 945 , 49 
b00983,05/02/2015, 93 , 9 
B01016,05/02/2015," 1,235 ", 76 
b01048,05/02/2015, 120 , 9 
B01066,05/02/2015, 984 , 88 
B01069,05/02/2015, 164 , 11 
B01079,05/02/2015, 138 , -   
B01109,05/02/2015, 899 , 83 
B01129,05/02/2015, 251 , 23 
B01148,05/02/2015, 564 , 57 
B01177,05/02/2015, 64 , 5 
B01197,05/02/2015, 92 , 39 
B01231,05/02/2015, 25 , 11 
B01265,05/02/2015, 588 , 70 
B01280,05/02/2015, 126 , 16 
B01306,05/02/2015, 38 , 10 
B01313,05/02/2015, 10 , 10 
B01332,05/02/2015, 54 , 7 
B01336,05/02/2015, 130 , 15 
B01367,05/02/2015, 1 , 1 
B01379,05/02/2015, 12 , 1 
B01391,05/02/2015, 147 , 12 
B01398,05/02/2015, 1 , -   
B01417,05/02/2015, 19 , -   
B01424,05/02/2015, 21 , 2 
B01445,05/02/2015, 33 , 23 
B01452,05/02/2015, 92 , 10 
B01453,05/02/2015, 226 , 15 
B01478,05/02/2015, 107 , 12 
B01509,05/02/2015, 926 , 75 
B01514,05/02/2015, 89 , 13 
B01522,05/02/2015, 100 , 16 
B01537,05/02/2015, 147 , 18 
B01546,05/02/2015, 98 , 7 
B01568,05/02/2015, 448 , 36 
B01606,05/02/2015," 2,273 ", 119 
B01608,05/02/2015, 6 , 4 
B01623,05/02/2015, 75 , 10 
B01625,05/02/2015, 105 , 9 
B01626,05/02/2015," 1,964 ", 129 
B01642,05/02/2015, 476 , -   
B01653,05/02/2015, 88 , 9 
B01675,05/02/2015, 96 , 13 
B01678,05/02/2015, 38 , 5 
B01679,05/02/2015, 66 , 5 
B01726,05/02/2015," 1,376 ", 159 
B01727,05/02/2015, 6 , 3 
B01730,05/02/2015, 481 , 97 
B01733,05/02/2015, 63 , 5 
B01738,05/02/2015, 355 , 24 
B01741,05/02/2015, 98 , 14 
B01742,05/02/2015, 15 , 8 
B01779,05/02/2015, 17 , 8 
B01808,05/02/2015, 18 , 10 
B01846,05/02/2015, 7 , 7 
B01849,05/02/2015, 2 , 1 
B01854,05/02/2015, 12 , 7 
B01868,05/02/2015, 2 , 2 
B01875,05/02/2015, 18 , 9 
B01876,05/02/2015, 1 , 1 
B01877,05/02/2015, 54 , 41 
B01899,05/02/2015, 500 , 56 
B01912,05/02/2015, 24 , -   
B01913,05/02/2015, 25 , 13 
B01928,05/02/2015, 1 , 1 
B01957,05/02/2015, 6 , 1 
B01973,05/02/2015, 96 , 17 
B01979,05/02/2015, 1 , 1 
B01984,05/02/2015, 334 , 75 
B01990,05/02/2015, 49 , 34 
B01995,05/02/2015, 158 , 16 
B02003,05/02/2015, 52 , 28 
B02016,05/02/2015, 21 , 12 
B02021,05/02/2015, 65 , 4 
B02022,05/02/2015, 30 , 13 
B02054,05/02/2015, 15 , 7 
B02095,05/02/2015, 61 , 38 
B02096,05/02/2015, 2 , 2 
B02106,05/02/2015, 2 , -   
B02110,05/02/2015, 62 , 5 
B02120,05/02/2015, 136 , 63 
B02133,05/02/2015, 20 , 10 
B02144,05/02/2015, 7 , 4 
B02147,05/02/2015, 19 , 10 
B02155,05/02/2015, 6 , 6 
B02157,05/02/2015, 130 , 79 
B02167,05/02/2015, 2 , 1 
B02183,05/02/2015, 6 , 6 
B02191,05/02/2015, 7 , 4 
B02196,05/02/2015, 4 , 4 
B02217,05/02/2015, 8 , 5 
B02240,05/02/2015, 9 , 7 
B02249,05/02/2015, 409 , 47 
B02252,05/02/2015, 6 , 2 
B02265,05/02/2015, 11 , 1 
b02301,05/02/2015, 649 , 26 
B02306,05/02/2015, 117 , 19 
B02308,05/02/2015, 17 , 13 
B02342,05/02/2015, 17 , -   
B02378,05/02/2015, 1 , 1 
B02389,05/02/2015, 13 , 7 
B02397,05/02/2015, 222 , 12 
B02410,05/02/2015, 27 , 11 
B02423,05/02/2015, 15 , 2 
B02435,05/02/2015, 2 , 2 
B02440,05/02/2015, 5 , 3 
B02447,05/02/2015, 4 , 4 
B02468,05/02/2015, 93 , 21 
B02470,05/02/2015, 2 , 2 
B02471,05/02/2015, 14 , 5 
B02475,05/02/2015, 25 , 7 
B02491,05/02/2015, 13 , 2 
B02511,05/02/2015, 91 , 14 
B02517,05/02/2015, 16 , 10 
B02532,05/02/2015, 62 , -   
B02541,05/02/2015, 13 , 7 
B02542,05/02/2015, 3 , 2 
B02543,05/02/2015, 65 , 9 
B02554,05/02/2015, 3 , 3 
B02564,05/02/2015, 4 , 2 
B02573,05/02/2015, 505 , 39 
B02574,05/02/2015, 33 , 20 
B02590,05/02/2015, 78 , -   
B02599,05/02/2015, 7 , 3 
B02611,05/02/2015, 14 , 6 
B02629,05/02/2015, 2 , 2 
B02637,05/02/2015, 9 , 8 
B02653,05/02/2015," 1,694 ", 116 
B02661,05/02/2015, 122 , -   
B02664,05/02/2015, 2 , 2 
B02666,05/02/2015, 3 , 3 
B02667,05/02/2015, 6 , 4 
B02673,05/02/2015, 3 , 3 
B02681,05/02/2015, 1 , 1 
B02686,05/02/2015, 10 , 8 
B02695,05/02/2015, 7 , 2 
B02705                  ,05/02/2015, 1 , 1 
B02712,05/02/2015, 6 , 5 
B02715,05/02/2015, 93 , 21 
B02716,05/02/2015, 137 , 1 
B02718,05/02/2015, 1 , 1 
B02723,05/02/2015, 5 , -   
B02725,05/02/2015, 111 , 1 
B02726,05/02/2015, 266 , 11 
B02751,05/02/2015, 2 , 2 
B02753,05/02/2015, 34 , 12 
B02783,05/02/2015, 9 , 5 
B02808,05/02/2015, 22 , 4 
B00008,05/03/2015, 175 , 16 
B00009,05/03/2015, 117 , 15 
B00013,05/03/2015, 102 , 48 
B00014,05/03/2015, 135 , 56 
B00021,05/03/2015," 1,240 ", 60 
B00029,05/03/2015, 608 , 44 
B00030,05/03/2015, 71 , 10 
B00035,05/03/2015, 5 , 4 
B00078,05/03/2015, 54 , 23 
B00083,05/03/2015, 11 , 6 
B00084,05/03/2015, 14 , 9 
B00160,05/03/2015, 270 , 22 
B00170,05/03/2015, 77 , 9 
B00202,05/03/2015, 33 , 7 
B00221,05/03/2015, 317 , 53 
B00235,05/03/2015, 10 , 6 
B00248,05/03/2015, 967 , 107 
B00254,05/03/2015, 344 , 112 
B00256,05/03/2015," 2,016 ", 494 
B00272,05/03/2015, 116 , 62 
B00277,05/03/2015, 12 , 7 
B00281,05/03/2015, 50 , 7 
B00296,05/03/2015, 19 , 10 
B00310,05/03/2015," 2,116 ", 118 
B00319,05/03/2015, 135 , 12 
B00334,05/03/2015, 131 , 32 
B00373,05/03/2015, 668 , 22 
B00381,05/03/2015, 89 , 38 
B00411,05/03/2015, 36 , 20 
B00412,05/03/2015, 132 , 45 
B00477,05/03/2015, 294 , 54 
B00492,05/03/2015, 348 , 19 
B00552,05/03/2015, 24 , 18 
B00608,05/03/2015, 44 , 15 
B00619,05/03/2015, 24 , 5 
B00623,05/03/2015, 3 , 2 
B00652,05/03/2015, 147 , 15 
B00706,05/03/2015, 446 , 16 
B00789,05/03/2015, 251 , 94 
B00837,05/03/2015, 304 , 94 
b00881,05/03/2015, 1 , 1 
B00888,05/03/2015, 40 , 18 
B00906,05/03/2015, 81 , 13 
b00941,05/03/2015, 57 , -   
B00975,05/03/2015," 1,029 ", 53 
b00983,05/03/2015, 81 , 8 
B01016,05/03/2015," 1,062 ", 68 
B01020,05/03/2015, 47 , 10 
b01039,05/03/2015, 10 , 10 
b01048,05/03/2015, 86 , 9 
B01066,05/03/2015, 914 , 79 
B01069,05/03/2015, 246 , 11 
B01079,05/03/2015, 114 , -   
B01109,05/03/2015, 884 , 78 
B01129,05/03/2015, 247 , 23 
B01148,05/03/2015, 439 , 52 
B01177,05/03/2015, 185 , 14 
B01197,05/03/2015, 85 , 38 
B01231,05/03/2015, 206 , 23 
B01265,05/03/2015, 522 , 63 
B01269,05/03/2015, 34 , 6 
B01280,05/03/2015, 147 , 22 
B01306,05/03/2015, 29 , 5 
B01332,05/03/2015, 42 , 5 
B01336,05/03/2015, 122 , 15 
B01351,05/03/2015, 61 , 6 
B01367,05/03/2015, 15 , 7 
B01379,05/03/2015, 21 , 2 
B01391,05/03/2015, 170 , 13 
B01398,05/03/2015, 1 , -   
B01417,05/03/2015, 194 , -   
B01424,05/03/2015, 17 , 2 
B01445,05/03/2015, 17 , 13 
B01452,05/03/2015, 107 , 12 
B01453,05/03/2015, 219 , 13 
B01475,05/03/2015, 1 , -   
B01478,05/03/2015, 80 , 8 
B01509,05/03/2015, 841 , 66 
B01514,05/03/2015, 59 , 10 
B01522,05/03/2015, 74 , 11 
B01537,05/03/2015, 144 , 16 
B01546,05/03/2015, 62 , 6 
B01559,05/03/2015, 201 , 16 
B01568,05/03/2015, 422 , 30 
B01606,05/03/2015," 1,954 ", 102 
B01608,05/03/2015, 6 , 4 
B01623,05/03/2015, 80 , 9 
B01625,05/03/2015, 118 , 9 
B01626,05/03/2015," 1,878 ", 126 
B01635,05/03/2015, 42 , 8 
B01642,05/03/2015, 438 , -   
B01653,05/03/2015, 135 , 12 
B01675,05/03/2015, 76 , 11 
B01678,05/03/2015, 45 , 5 
B01679,05/03/2015, 61 , 6 
B01726,05/03/2015," 1,361 ", 139 
B01727,05/03/2015, 6 , 4 
B01730,05/03/2015, 441 , 88 
B01733,05/03/2015, 76 , 11 
B01738,05/03/2015, 327 , 23 
B01741,05/03/2015, 81 , 13 
B01742,05/03/2015, 16 , 7 
B01779,05/03/2015, 19 , 8 
B01808,05/03/2015, 14 , 10 
B01846,05/03/2015, 4 , 3 
B01849,05/03/2015, 10 , 6 
B01854,05/03/2015, 43 , 15 
B01868,05/03/2015, 1 , 1 
B01875,05/03/2015, 16 , 2 
B01877,05/03/2015, 97 , 49 
B01899,05/03/2015, 375 , 42 
B01912,05/03/2015, 14 , -   
B01913,05/03/2015, 39 , 13 
B01928,05/03/2015, 1 , 1 
B01957,05/03/2015, 10 , 3 
B01973,05/03/2015, 116 , 18 
B01979,05/03/2015, 1 , 1 
B01984,05/03/2015, 116 , 33 
B01990,05/03/2015, 51 , 27 
B01995,05/03/2015, 172 , 14 
B02003,05/03/2015, 66 , 34 
B02016,05/03/2015, 40 , 16 
B02021,05/03/2015, 72 , 6 
B02022,05/03/2015, 25 , 11 
B02026,05/03/2015, 5 , 1 
B02054,05/03/2015, 14 , 8 
B02095,05/03/2015, 95 , 50 
B02096,05/03/2015, 4 , 4 
B02106,05/03/2015, 5 , -   
B02110,05/03/2015, 29 , 4 
B02120,05/03/2015, 182 , 59 
B02127,05/03/2015, 1 , 1 
B02133,05/03/2015, 33 , 16 
B02142,05/03/2015, 1 , 1 
B02144,05/03/2015, 19 , 8 
B02147,05/03/2015, 19 , 12 
B02155,05/03/2015, 7 , 6 
B02157,05/03/2015, 207 , 79 
B02191,05/03/2015, 16 , 7 
B02196,05/03/2015, 2 , 2 
B02217,05/03/2015, 12 , 6 
B02240,05/03/2015, 9 , 6 
B02248,05/03/2015, 9 , 1 
B02249,05/03/2015, 425 , 43 
B02252,05/03/2015, 7 , 3 
B02265,05/03/2015, 3 , 1 
b02301,05/03/2015, 306 , 20 
B02306,05/03/2015, 123 , 16 
B02342,05/03/2015, 13 , -   
B02389,05/03/2015, 26 , 8 
B02397,05/03/2015, 241 , 12 
B02410,05/03/2015, 44 , 18 
B02423,05/03/2015, 11 , 2 
B02435,05/03/2015, 8 , 4 
B02440,05/03/2015, 34 , 14 
B02447,05/03/2015, 4 , 4 
B02468,05/03/2015, 61 , 16 
B02470,05/03/2015, 5 , 2 
B02471,05/03/2015, 7 , 4 
B02475,05/03/2015, 6 , 3 
B02491,05/03/2015, 15 , 3 
B02511,05/03/2015, 60 , 14 
B02517,05/03/2015, 14 , 8 
B02524,05/03/2015, 1 , 1 
B02532,05/03/2015, 30 , -   
B02541,05/03/2015, 3 , 3 
B02542,05/03/2015, 1 , 1 
B02543,05/03/2015, 60 , 9 
B02554,05/03/2015, 2 , 2 
B02564,05/03/2015, 6 , 3 
B02573,05/03/2015, 419 , 33 
B02574,05/03/2015, 80 , 40 
B02590,05/03/2015, 71 , -   
B02599,05/03/2015, 10 , 4 
B02629,05/03/2015, 9 , 5 
B02637,05/03/2015, 7 , 7 
B02653,05/03/2015," 1,584 ", 105 
B02661,05/03/2015, 82 , -   
B02664,05/03/2015, 2 , 2 
B02666,05/03/2015, 2 , 2 
B02667,05/03/2015, 5 , 4 
B02673,05/03/2015, 6 , 5 
B02675,05/03/2015, 37 , 1 
B02681,05/03/2015, 5 , 3 
B02686,05/03/2015, 6 , 6 
B02689,05/03/2015, 2 , 2 
B02695,05/03/2015, 12 , 3 
B02705                  ,05/03/2015, 3 , 3 
B02712,05/03/2015, 7 , 5 
B02715,05/03/2015, 61 , 16 
B02716,05/03/2015, 123 , 1 
B02725,05/03/2015, 99 , 1 
B02726,05/03/2015, 266 , 9 
B02731,05/03/2015, 14 , 1 
B02751,05/03/2015, 2 , 2 
B02753,05/03/2015, 30 , 11 
B02783,05/03/2015, 2 , 2 
B02808,05/03/2015, 24 , 4 
B00008,05/04/2015, 173 , 17 
B00009,05/04/2015, 117 , 15 
B00013,05/04/2015, 318 , 103 
B00014,05/04/2015, 448 , 146 
B00021,05/04/2015, 736 , 66 
B00029,05/04/2015, 618 , 50 
B00030,05/04/2015, 27 , 4 
B00035,05/04/2015, 62 , 31 
B00078,05/04/2015, 74 , 44 
B00083,05/04/2015, 21 , 10 
B00084,05/04/2015, 32 , 16 
B00160,05/04/2015, 312 , 22 
B00170,05/04/2015, 63 , 9 
B00202,05/04/2015, 44 , 12 
B00221,05/04/2015, 509 , 80 
B00235,05/04/2015, 30 , 14 
B00236,05/04/2015, 8 , 4 
B00248,05/04/2015," 1,023 ", 124 
B00254,05/04/2015," 1,062 ", 273 
B00256,05/04/2015," 2,747 ", 633 
B00272,05/04/2015, 311 , 133 
B00277,05/04/2015, 145 , 39 
B00281,05/04/2015, 133 , 9 
B00296,05/04/2015, 66 , 33 
B00310,05/04/2015," 1,679 ", 139 
B00319,05/04/2015, 154 , 13 
B00334,05/04/2015, 151 , 44 
B00373,05/04/2015, 392 , 28 
B00381,05/04/2015, 363 , 124 
B00411,05/04/2015, 213 , 63 
B00412,05/04/2015, 384 , 92 
B00448,05/04/2015, 6 , 2 
B00477,05/04/2015, 928 , 150 
B00492,05/04/2015, 321 , 21 
B00552,05/04/2015, 31 , 21 
B00608,05/04/2015, 140 , 41 
B00619,05/04/2015, 25 , 7 
B00623,05/04/2015, 21 , 8 
B00652,05/04/2015, 118 , 17 
B00706,05/04/2015, 404 , 19 
B00789,05/04/2015, 763 , 224 
b00833,05/04/2015, 48 , -   
B00837,05/04/2015, 630 , 185 
b00881,05/04/2015, 29 , 15 
B00888,05/04/2015, 117 , 37 
B00906,05/04/2015, 81 , 13 
b00941,05/04/2015, 57 , -   
B00975,05/04/2015, 683 , 52 
b00983,05/04/2015, 96 , 11 
b01013,05/04/2015, 10 , 5 
B01016,05/04/2015, 854 , 70 
B01020,05/04/2015, 48 , 13 
b01039,05/04/2015, 10 , 10 
b01048,05/04/2015, 75 , 9 
B01066,05/04/2015, 698 , 85 
B01069,05/04/2015, 86 , 18 
B01079,05/04/2015, 141 , -   
B01109,05/04/2015, 677 , 79 
B01129,05/04/2015, 236 , 23 
B01148,05/04/2015, 342 , 56 
B01177,05/04/2015, 141 , 10 
B01197,05/04/2015, 328 , 92 
B01231,05/04/2015, 266 , 32 
B01265,05/04/2015, 492 , 70 
B01269,05/04/2015, 37 , 6 
B01280,05/04/2015, 162 , 20 
B01306,05/04/2015, 37 , 7 
B01313,05/04/2015, 9 , 9 
B01332,05/04/2015, 43 , 7 
B01336,05/04/2015, 143 , 19 
B01351,05/04/2015, 70 , 6 
B01367,05/04/2015, 74 , 32 
B01379,05/04/2015, 55 , 4 
B01391,05/04/2015, 167 , 13 
B01398,05/04/2015, 1 , -   
B01417,05/04/2015, 220 , -   
B01445,05/04/2015, 141 , 45 
B01452,05/04/2015, 202 , 13 
B01453,05/04/2015, 216 , 12 
B01475,05/04/2015, 2 , -   
B01478,05/04/2015, 77 , 13 
B01509,05/04/2015, 727 , 70 
B01514,05/04/2015, 58 , 12 
B01522,05/04/2015, 83 , 16 
B01537,05/04/2015, 163 , 16 
B01546,05/04/2015, 89 , 8 
B01559,05/04/2015, 295 , 21 
B01568,05/04/2015, 283 , 38 
B01606,05/04/2015," 1,811 ", 118 
B01608,05/04/2015, 13 , 6 
B01623,05/04/2015, 62 , 9 
B01625,05/04/2015, 100 , 9 
B01626,05/04/2015," 1,238 ", 121 
B01635,05/04/2015, 47 , 8 
B01642,05/04/2015, 290 , -   
B01653,05/04/2015, 154 , 13 
B01675,05/04/2015, 127 , 16 
B01678,05/04/2015, 46 , 5 
B01679,05/04/2015, 42 , 4 
B01726,05/04/2015," 1,045 ", 147 
B01727,05/04/2015, 8 , 4 
B01730,05/04/2015, 476 , 98 
B01733,05/04/2015, 65 , 8 
B01738,05/04/2015, 181 , 24 
B01741,05/04/2015, 92 , 18 
B01742,05/04/2015, 20 , 11 
B01779,05/04/2015, 47 , 19 
B01808,05/04/2015, 43 , 10 
B01849,05/04/2015, 9 , 4 
B01854,05/04/2015, 83 , 22 
B01868,05/04/2015, 2 , 2 
B01875,05/04/2015, 376 , 52 
B01876,05/04/2015, 3 , 2 
B01877,05/04/2015, 221 , 98 
B01899,05/04/2015, 777 , 91 
B01912,05/04/2015, 60 , -   
B01913,05/04/2015, 55 , 18 
B01957,05/04/2015, 8 , 2 
B01973,05/04/2015, 80 , 14 
B01979,05/04/2015, 1 , 1 
B01984,05/04/2015, 657 , 99 
B01990,05/04/2015, 89 , 41 
B01995,05/04/2015, 156 , 17 
B02003,05/04/2015, 167 , 77 
B02016,05/04/2015, 160 , 57 
B02021,05/04/2015, 33 , 5 
B02022,05/04/2015, 65 , 26 
B02026,05/04/2015, 2 , 1 
B02054,05/04/2015, 21 , 11 
B02095,05/04/2015, 155 , 86 
B02096,05/04/2015, 9 , 8 
B02106,05/04/2015, 3 , -   
B02110,05/04/2015, 77 , 7 
B02120,05/04/2015, 333 , 105 
B02127,05/04/2015, 2 , 2 
B02133,05/04/2015, 95 , 34 
B02142,05/04/2015, 4 , 4 
B02144,05/04/2015, 21 , 10 
B02147,05/04/2015, 20 , 14 
B02155,05/04/2015, 16 , 11 
B02157,05/04/2015, 185 , 99 
B02182,05/04/2015, 4 , 2 
B02183,05/04/2015, 10 , 10 
B02191,05/04/2015, 39 , 16 
B02217,05/04/2015, 22 , 9 
B02240,05/04/2015, 17 , 9 
B02248,05/04/2015, 1 , 1 
B02249,05/04/2015, 254 , 43 
B02252,05/04/2015, 3 , 3 
B02265,05/04/2015, 50 , 3 
b02301,05/04/2015, 407 , 26 
B02306,05/04/2015, 87 , 20 
B02308,05/04/2015, 118 , 22 
B02342,05/04/2015, 22 , -   
B02378,05/04/2015, 2 , 1 
B02389,05/04/2015, 64 , 15 
B02397,05/04/2015, 126 , 11 
B02410,05/04/2015, 96 , 22 
B02423,05/04/2015, 20 , 3 
B02435,05/04/2015, 10 , 5 
B02440,05/04/2015, 56 , 18 
B02447,05/04/2015, 4 , 4 
B02468,05/04/2015, 160 , 34 
B02470,05/04/2015, 18 , 8 
B02471,05/04/2015, 16 , 7 
B02475,05/04/2015, 13 , 8 
B02491,05/04/2015, 25 , 4 
B02511,05/04/2015, 31 , 15 
B02517,05/04/2015, 12 , 8 
B02524,05/04/2015, 20 , 8 
B02532,05/04/2015, 53 , -   
B02541,05/04/2015, 9 , 7 
B02543,05/04/2015, 65 , 9 
B02547,05/04/2015, 9 , 8 
B02554,05/04/2015, 3 , 2 
B02564,05/04/2015, 2 , 1 
B02573,05/04/2015, 318 , 36 
B02574,05/04/2015, 82 , 46 
B02590,05/04/2015, 65 , -   
B02599,05/04/2015, 12 , 5 
B02629,05/04/2015, 13 , 5 
B02637,05/04/2015, 5 , 4 
B02653,05/04/2015," 1,075 ", 113 
B02658,05/04/2015, 21 , 2 
B02661,05/04/2015, 86 , -   
B02664,05/04/2015, 6 , 6 
B02666,05/04/2015, 5 , 5 
B02667,05/04/2015, 6 , 3 
B02673,05/04/2015, 9 , 6 
B02675,05/04/2015, 53 , 1 
B02681,05/04/2015, 1 , 1 
B02686,05/04/2015, 8 , 8 
B02695,05/04/2015, 13 , 3 
B02705                  ,05/04/2015, 3 , 2 
B02710,05/04/2015, 6 , 6 
B02712,05/04/2015, 6 , 5 
B02715,05/04/2015, 160 , 34 
B02716,05/04/2015, 94 , 1 
B02718,05/04/2015, 1 , 1 
B02723,05/04/2015, 18 , -   
B02725,05/04/2015, 140 , 1 
B02726,05/04/2015, 104 , 8 
B02731,05/04/2015, 31 , 2 
B02751,05/04/2015, 2 , 2 
B02753,05/04/2015, 27 , 12 
B02754,05/04/2015, 25 , 2 
B02783,05/04/2015, 37 , 5 
B02808,05/04/2015, 6 , 1 
B00008,05/05/2015, 173 , 17 
B00009,05/05/2015, 117 , 15 
B00013,05/05/2015, 394 , 110 
B00014,05/05/2015, 517 , 161 
B00021,05/05/2015, 740 , 68 
B00029,05/05/2015, 585 , 50 
B00030,05/05/2015, 84 , 9 
B00035,05/05/2015, 71 , 34 
B00078,05/05/2015, 83 , 39 
B00083,05/05/2015, 30 , 15 
B00084,05/05/2015, 25 , 12 
B00160,05/05/2015, 266 , 22 
B00170,05/05/2015, 49 , 8 
B00202,05/05/2015, 123 , 17 
B00221,05/05/2015, 565 , 86 
B00235,05/05/2015, 37 , 15 
B00236,05/05/2015, 22 , 9 
B00248,05/05/2015," 1,037 ", 124 
B00254,05/05/2015," 1,184 ", 283 
B00256,05/05/2015," 2,586 ", 606 
B00272,05/05/2015, 377 , 150 
B00277,05/05/2015, 160 , 42 
B00296,05/05/2015, 86 , 43 
B00310,05/05/2015," 1,593 ", 142 
B00319,05/05/2015, 112 , 10 
B00334,05/05/2015, 173 , 42 
B00373,05/05/2015, 346 , 36 
B00381,05/05/2015, 443 , 123 
B00411,05/05/2015, 228 , 60 
B00412,05/05/2015, 398 , 86 
B00448,05/05/2015, 9 , 3 
B00477,05/05/2015," 1,094 ", 151 
B00492,05/05/2015, 307 , 22 
B00552,05/05/2015, 55 , 35 
B00608,05/05/2015, 177 , 42 
B00619,05/05/2015, 27 , 6 
B00623,05/05/2015, 18 , 8 
B00652,05/05/2015, 126 , 18 
B00706,05/05/2015, 412 , 19 
B00789,05/05/2015, 883 , 232 
b00833,05/05/2015, 53 , -   
B00837,05/05/2015, 619 , 188 
b00881,05/05/2015, 37 , 21 
B00888,05/05/2015, 146 , 41 
B00906,05/05/2015, 81 , 13 
b00941,05/05/2015, 56 , -   
B00975,05/05/2015, 596 , 46 
b00983,05/05/2015, 78 , 9 
b01013,05/05/2015, 18 , 6 
B01016,05/05/2015, 870 , 67 
B01020,05/05/2015, 60 , 14 
b01039,05/05/2015, 10 , 10 
b01048,05/05/2015, 83 , 8 
B01066,05/05/2015, 672 , 87 
