Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B02107,01/06/2015, 743 , 88 
B02120,01/06/2015, 242 , 90 
B02147,01/06/2015, 36 , 8 
B02183,01/06/2015, 8 , 8 
B02285,01/06/2015, 201 , 76 
B02475,01/06/2015, 14 , 8 
B02513,01/06/2015, 15 , 4 
B02566,01/06/2015, 8 , 7 
B02569,01/06/2015, 151 , 1 
B02653,01/06/2015," 1,116 ", 105 
B02715,01/06/2015, 233 , 68 
B00013,01/07/2015, 412 , 106 
B00014,01/07/2015, 638 , 164 
B00029,01/07/2015, 814 , 44 
B00053,01/07/2015, 117 , 63 
B00095,01/07/2015, 447 , 82 
B00221,01/07/2015, 546 , 76 
B00227,01/07/2015, 473 , 152 
B00248,01/07/2015," 1,097 ", 130 
B00254,01/07/2015," 1,312 ", 304 
B00280,01/07/2015, 240 , 81 
B00310,01/07/2015," 1,723 ", 146 
B00381,01/07/2015, 314 , 84 
B00412,01/07/2015, 403 , 80 
B00448,01/07/2015, 5 , 3 
B00457,01/07/2015," 1,373 ", 114 
B00477,01/07/2015, 556 , 139 
B00552,01/07/2015, 38 , 26 
B00623,01/07/2015, 22 , 8 
B00837,01/07/2015, 387 , 146 
B00887,01/07/2015," 2,136 ", 683 
B00919,01/07/2015, 491 , 71 
B00948,01/07/2015, 605 , 60 
B01066,01/07/2015, 720 , 82 
B01083,01/07/2015, 849 , 94 
B01087,01/07/2015, 843 , 247 
B01148,01/07/2015, 500 , 63 
B01197,01/07/2015, 273 , 82 
B01282,01/07/2015," 1,064 ", 70 
B01285,01/07/2015," 1,377 ", 154 
B01300,01/07/2015, 810 , 115 
B01312,01/07/2015," 1,108 ", 103 
B01313,01/07/2015, 14 , 14 
B01315,01/07/2015," 1,475 ", 149 
B01341,01/07/2015," 1,571 ", 163 
b01346,01/07/2015, 905 , 111 
B01367    ,01/07/2015, 237 , 69 
B01386,01/07/2015," 2,371 ", 193 
B01522,01/07/2015, 98 , 15 
B01651,01/07/2015, 346 , 54 
B01777,01/07/2015, 763 , 131 
B01848,01/07/2015, 9 , -   
B01877,01/07/2015, 400 , 127 
B01899,01/07/2015," 1,291 ", 118 
B01949,01/07/2015, 52 , 19 
B01984,01/07/2015, 515 , 101 
B01990,01/07/2015, 142 , 35 
B02003,01/07/2015, 209 , 69 
B02022,01/07/2015, 77 , 25 
B02096,01/07/2015, 28 , 17 
B02107,01/07/2015, 807 , 86 
B02120,01/07/2015, 305 , 94 
B02147,01/07/2015, 28 , 8 
B02183,01/07/2015, 9 , 9 
B02285,01/07/2015, 241 , 86 
B02475,01/07/2015, 14 , 8 
B02513,01/07/2015, 23 , 6 
B02566,01/07/2015, 7 , 6 
B02569,01/07/2015, 181 , 1 
B02653,01/07/2015," 1,165 ", 112 
B02715,01/07/2015, 242 , 76 
B00013,01/08/2015, 484 , 111 
B00014,01/08/2015, 686 , 172 
B00029,01/08/2015, 918 , 47 
B00053,01/08/2015, 113 , 60 
B00095,01/08/2015, 341 , 84 
B00221,01/08/2015, 540 , 80 
B00227,01/08/2015, 555 , 153 
B00248,01/08/2015," 1,126 ", 130 
B00254,01/08/2015," 1,496 ", 320 
B00280,01/08/2015, 306 , 83 
B00310,01/08/2015," 1,809 ", 149 
B00381,01/08/2015, 332 , 87 
B00412,01/08/2015, 370 , 82 
B00448,01/08/2015, 4 , 2 
B00457,01/08/2015," 1,246 ", 115 
B00477,01/08/2015, 611 , 140 
B00552,01/08/2015, 36 , 26 
B00623,01/08/2015, 24 , 9 
B00837,01/08/2015, 466 , 154 
B00887,01/08/2015," 2,557 ", 711 
B00919,01/08/2015, 716 , 70 
B00948,01/08/2015, 639 , 58 
B01066,01/08/2015, 735 , 84 
B01083,01/08/2015, 979 , 107 
B01087,01/08/2015, 931 , 255 
B01148,01/08/2015, 534 , 64 
B01197,01/08/2015, 312 , 91 
B01282,01/08/2015," 1,067 ", 70 
B01285,01/08/2015," 1,398 ", 149 
B01300,01/08/2015, 823 , 113 
B01312,01/08/2015," 1,125 ", 106 
B01313,01/08/2015, 26 , 25 
B01315,01/08/2015," 1,535 ", 147 
B01341,01/08/2015," 1,680 ", 159 
b01346,01/08/2015, 942 , 110 
B01367    ,01/08/2015, 252 , 71 
B01386,01/08/2015," 2,517 ", 204 
B01522,01/08/2015, 108 , 16 
B01651,01/08/2015, 421 , 57 
B01777,01/08/2015, 900 , 138 
B01848,01/08/2015, 7 , -   
B01877,01/08/2015, 383 , 127 
B01899,01/08/2015," 1,247 ", 118 
B01949,01/08/2015, 52 , 23 
B01984,01/08/2015, 491 , 94 
B01990,01/08/2015, 112 , 36 
B02003,01/08/2015, 259 , 83 
